1 37.80,1 38.27,2 119.56,3 18.84,4 94.28,5 99.48,6 0.00,7 0.71,8 -6.52
1 37.37,2 119.69,2 119.83,3 18.96,4 -83.89,5 105.61,6 0.00,7 0.66,8 -6.45
1 36.98,2 119.96,3 18.50,3 18.87,4 64.02,5 111.74,6 0.00,7 0.61,8 -6.41
1 36.62,2 120.09,3 18.21,4 -45.51,4 4.33,5 116.64,6 0.00,7 0.70,8 -6.39
1 36.29,2 120.22,3 18.27,4 -41.46,5 122.77,5 128.90,6 0.00,7 0.61,8 -6.50
1 35.99,2 120.36,3 18.13,4 63.54,5 133.80,6 0.00,6 0.00,7 0.55,8 -6.47
1 35.72,2 120.49,3 18.39,4 -146.51,5 139.93,6 0.00,7 0.64,7 0.81,8 -6.60
1 35.72,2 120.62,3 18.57,4 109.50,5 146.06,6 0.00,7 0.68,8 -6.58,8 -6.61
1 35.55,2 120.61,3 18.70,4 -53.85,5 152.19,6 0.00,7 0.75,8 -6.70,9 17.43
1 35.29,1 35.49,2 120.61,3 18.71,4 -56.74,5 -156.72,6 0.00,7 0.69,8 -6.65
1 35.73,2 120.75,2 120.88,3 18.39,4 1.68,5 -150.59,6 0.00,7 0.89,8 -6.76
1 35.99,2 121.01,3 18.36,3 18.38,4 47.84,5 -144.46,6 0.00,7 1.03,8 -6.75
1 36.29,2 121.14,3 18.68,4 -76.83,4 105.02,5 -139.56,6 0.00,7 0.89,8 -6.77
1 36.63,2 121.28,3 18.86,4 -53.96,5 -128.53,5 -133.43,6 0.00,7 1.02,8 -6.78
1 37.01,2 121.41,3 18.83,4 -93.61,5 -122.40,6 0.00,6 0.00,7 1.08,8 -6.73
1 37.43,2 121.54,3 18.56,4 27.34,5 -116.27,6 0.00,7 1.29,8 -6.88,9 17.77
1 37.89,2 121.67,3 18.27,4 142.14,5 -111.36,6 0.00,7 1.21,8 -6.84,9 17.69
1 38.38,2 121.80,3 18.33,4 -154.93,5 -105.23,6 0.00,7 1.26,8 -6.77,9 17.87
1 38.90,2 121.94,3 18.09,4 137.61,5 -99.11,6 0.00,7 1.32,8 -6.91,9 17.91
1 39.46,2 122.07,3 18.24,4 -84.69,5 -94.20,6 0.00,7 1.27,8 -6.86,9 17.81
1 40.05,2 122.20,3 18.10,4 -72.86,5 -88.07,6 0.00,7 1.25,8 -6.71,9 17.81
1 40.67,2 122.33,3 18.26,4 -61.02,5 -81.94,6 0.00,7 1.24,8 -6.71,9 17.84
1 41.33,2 122.47,3 18.52,4 -8.74,5 -77.04,6 0.00,7 1.35,8 -6.64,9 17.67
1 41.16,2 122.46,3 18.65,4 -140.31,5 -70.91,6 0.00,7 1.30,8 -6.73,9 17.78
1 40.90,2 122.46,3 18.65,4 -56.17,5 -64.78,6 0.00,7 1.25,8 -6.87,9 17.79
1 40.29,2 122.59,3 18.29,4 -130.12,5 -59.88,6 0.00,7 1.19,8 -6.89,9 17.86
1 39.70,2 122.72,3 18.13,4 -115.84,5 -53.75,6 0.00,7 1.16,8 -6.83,9 17.86
1 39.16,2 122.86,3 17.78,4 -9.62,5 -47.62,6 0.00,7 0.87,8 -6.79,9 18.00
1 38.64,2 122.99,3 17.85,4 57.38,5 -42.72,6 0.00,7 0.87,8 -6.73,9 17.98
1 38.17,2 123.12,3 18.19,4 137.86,5 -36.59,6 0.00,7 0.87,8 -6.73,9 18.06
1 37.72,2 123.25,3 17.90,4 -129.80,5 -30.46,6 0.00,7 0.74,8 -6.56,9 18.00
1 37.32,2 123.39,3 17.57,4 -73.83,5 -25.56,6 0.00,7 0.69,8 -6.66,9 17.91
1 36.93,2 123.52,3 17.75,4 7.86,5 -19.43,6 0.00,7 0.62,8 -6.72,9 17.91
1 36.58,2 123.65,3 17.78,4 14.79,5 -13.30,6 0.00,7 0.58,8 -6.73,9 17.96
